PK,SK,word,kanji,EntityType
WORD#107,KANJI#368,祖母,祖,WordKanji
WORD#107,KANJI#25,祖母,母,WordKanji
WORD#109,KANJI#2082,叔父,叔,WordKanji
WORD#109,KANJI#20,叔父,父,WordKanji
WORD#110,KANJI#2082,叔母,叔,WordKanji
WORD#110,KANJI#25,叔母,母,WordKanji
WORD#111,KANJI#908,孫,孫,WordKanji
WORD#112,KANJI#151,動物,物,WordKanji
WORD#112,KANJI#224,動物,動,WordKanji
WORD#113,KANJI#1180,豚,豚,WordKanji
WORD#114,KANJI#152,牛,牛,WordKanji
WORD#115,KANJI#997,鶏,鶏,WordKanji
WORD#116,KANJI#165,服,服,WordKanji
WORD#117,KANJI#137,着物,着,WordKanji
WORD#117,KANJI#151,着物,物,WordKanji
WORD#118,KANJI#888,帽子,帽,WordKanji
WORD#118,KANJI#42,帽子,子,WordKanji
WORD#125,KANJI#137,下着,着,WordKanji
WORD#125,KANJI#75,下着,下,WordKanji
WORD#129,KANJI#181,手袋,手,WordKanji
WORD#129,KANJI#691,手袋,袋,WordKanji
WORD#130,KANJI#1081,眼鏡,鏡,WordKanji
WORD#130,KANJI#1472,眼鏡,眼,WordKanji
WORD#134,KANJI#259,靴下,靴,WordKanji
WORD#134,KANJI#75,靴下,下,WordKanji
WORD#135,KANJI#259,靴,靴,WordKanji
WORD#137,KANJI#154,海,海,WordKanji
WORD#138,KANJI#38,川,川,WordKanji
WORD#139,KANJI#39,山,山,WordKanji
WORD#140,KANJI#89,風,風,WordKanji
WORD#141,KANJI#30,木,木,WordKanji
WORD#142,KANJI#830,森,森,WordKanji
WORD#143,KANJI#130,空,空,WordKanji
WORD#144,KANJI#632,雲,雲,WordKanji
WORD#145,KANJI#815,池,池,WordKanji
WORD#146,KANJI#119,花,花,WordKanji
WORD#147,KANJI#331,草,草,WordKanji
WORD#148,KANJI#237,体,体,WordKanji
WORD#149,KANJI#257,頭,頭,WordKanji
WORD#150,KANJI#251,首,首,WordKanji
WORD#151,KANJI#711,腕,腕,WordKanji
WORD#152,KANJI#457,指,指,WordKanji
WORD#153,KANJI#221,口,口,WordKanji
WORD#154,KANJI#342,耳,耳,WordKanji
WORD#155,KANJI#139,目,目,WordKanji
WORD#156,KANJI#619,鼻,鼻,WordKanji
WORD#157,KANJI#249,髪,髪,WordKanji
WORD#158,KANJI#151,食べ物,物,WordKanji
WORD#158,KANJI#2,食べ物,食,WordKanji
WORD#159,KANJI#148,料理,理,WordKanji
WORD#159,KANJI#177,料理,料,WordKanji
WORD#160,KANJI#88,ご飯,飯,WordKanji
WORD#168,KANJI#1898,弁当,弁,WordKanji
WORD#168,KANJI#493,弁当,当,WordKanji
WORD#171,KANJI#88,朝ご飯,飯,WordKanji
WORD#171,KANJI#164,朝ご飯,朝,WordKanji
WORD#172,KANJI#168,昼ご飯,昼,WordKanji
WORD#172,KANJI#88,昼ご飯,飯,WordKanji
WORD#173,KANJI#88,晩ご飯,飯,WordKanji
WORD#173,KANJI#443,晩ご飯,晩,WordKanji
WORD#176,KANJI#217,味噌汁,味,WordKanji
WORD#176,KANJI#1623,味噌汁,汁,WordKanji
