PK,SK,word,kanji,EntityType
KANJI#459,WORD#229,押し入れ,押,KanjiWord
KANJI#65,WORD#229,押し入れ,入,KanjiWord
KANJI#1660,WORD#230,本棚,棚,KanjiWord
KANJI#29,WORD#230,本棚,本,KanjiWord
KANJI#360,WORD#231,窓,窓,KanjiWord
KANJI#416,WORD#232,階段,段,KanjiWord
KANJI#635,WORD#232,階段,階,KanjiWord
KANJI#772,WORD#234,花瓶,瓶,KanjiWord
KANJI#119,WORD#234,花瓶,花,KanjiWord
KANJI#833,WORD#235,屋根,根,KanjiWord
KANJI#196,WORD#235,屋根,屋,KanjiWord
KANJI#34,WORD#238,日曜日,日,KanjiWord
KANJI#167,WORD#238,日曜日,曜,KanjiWord
KANJI#34,WORD#239,月曜日,日,KanjiWord
KANJI#167,WORD#239,月曜日,曜,KanjiWord
KANJI#31,WORD#239,月曜日,月,KanjiWord
KANJI#21,WORD#240,火曜日,火,KanjiWord
KANJI#167,WORD#240,火曜日,曜,KanjiWord
KANJI#34,WORD#240,火曜日,日,KanjiWord
KANJI#34,WORD#241,水曜日,日,KanjiWord
KANJI#167,WORD#241,水曜日,曜,KanjiWord
KANJI#22,WORD#241,水曜日,水,KanjiWord
KANJI#34,WORD#242,木曜日,日,KanjiWord
KANJI#167,WORD#242,木曜日,曜,KanjiWord
KANJI#30,WORD#242,木曜日,木,KanjiWord
KANJI#34,WORD#243,金曜日,日,KanjiWord
KANJI#167,WORD#243,金曜日,曜,KanjiWord
KANJI#7,WORD#243,金曜日,金,KanjiWord
KANJI#47,WORD#244,土曜日,土,KanjiWord
KANJI#34,WORD#244,土曜日,日,KanjiWord
KANJI#167,WORD#244,土曜日,曜,KanjiWord
KANJI#34,WORD#245,一昨日,日,KanjiWord
KANJI#80,WORD#245,一昨日,一,KanjiWord
KANJI#444,WORD#245,一昨日,昨,KanjiWord
KANJI#34,WORD#246,昨日,日,KanjiWord
KANJI#444,WORD#246,昨日,昨,KanjiWord
KANJI#34,WORD#247,今日,日,KanjiWord
KANJI#69,WORD#247,今日,今,KanjiWord
KANJI#34,WORD#248,明日,日,KanjiWord
KANJI#171,WORD#248,明日,明,KanjiWord
KANJI#35,WORD#249,明後日,後,KanjiWord
KANJI#34,WORD#249,明後日,日,KanjiWord
KANJI#171,WORD#249,明後日,明,KanjiWord
KANJI#101,WORD#250,先週,週,KanjiWord
KANJI#66,WORD#250,先週,先,KanjiWord
KANJI#69,WORD#251,今週,今,KanjiWord
KANJI#101,WORD#251,今週,週,KanjiWord
KANJI#28,WORD#252,来週,来,KanjiWord
KANJI#101,WORD#252,来週,週,KanjiWord
KANJI#31,WORD#253,先月,月,KanjiWord
KANJI#66,WORD#253,先月,先,KanjiWord
KANJI#69,WORD#254,今月,今,KanjiWord
KANJI#31,WORD#254,今月,月,KanjiWord
KANJI#28,WORD#255,来月,来,KanjiWord
KANJI#31,WORD#255,来月,月,KanjiWord
KANJI#36,WORD#256,去年,年,KanjiWord
KANJI#222,WORD#256,去年,去,KanjiWord
KANJI#36,WORD#257,今年,年,KanjiWord
KANJI#69,WORD#257,今年,今,KanjiWord
KANJI#36,WORD#258,来年,年,KanjiWord
KANJI#28,WORD#258,来年,来,KanjiWord
KANJI#34,WORD#259,毎日,日,KanjiWord
KANJI#24,WORD#259,毎日,毎,KanjiWord
KANJI#24,WORD#260,毎週,毎,KanjiWord
KANJI#101,WORD#260,毎週,週,KanjiWord
KANJI#24,WORD#261,毎晩,毎,KanjiWord
KANJI#443,WORD#261,毎晩,晩,KanjiWord
KANJI#69,WORD#262,今朝,今,KanjiWord
KANJI#164,WORD#262,今朝,朝,KanjiWord
KANJI#69,WORD#263,今晩,今,KanjiWord
KANJI#443,WORD#263,今晩,晩,KanjiWord
KANJI#205,WORD#264,昨夜,夜,KanjiWord
KANJI#444,WORD#264,昨夜,昨,KanjiWord
KANJI#19,WORD#265,誕生日,生,KanjiWord
KANJI#34,WORD#265,誕生日,日,KanjiWord
KANJI#1201,WORD#265,誕生日,誕,KanjiWord
KANJI#91,WORD#266,音楽,音,KanjiWord
KANJI#162,WORD#266,音楽,楽,KanjiWord
KANJI#589,WORD#270,働きます,働,KanjiWord
KANJI#14,WORD#271,行きます,行,KanjiWord
KANJI#194,WORD#272,帰ります,帰,KanjiWord
KANJI#87,WORD#273,飲みます,飲,KanjiWord
KANJI#9,WORD#274,読みます,読,KanjiWord
KANJI#112,WORD#275,買います,買,KanjiWord
KANJI#15,WORD#276,聞きます,聞,KanjiWord
KANJI#1759,WORD#277,撮ります,撮,KanjiWord
KANJI#239,WORD#278,会います,会,KanjiWord
KANJI#550,WORD#279,吸います,吸,KanjiWord
KANJI#228,WORD#280,切ります,切,KanjiWord
KANJI#126,WORD#281,終わります,終,KanjiWord
KANJI#125,WORD#282,習います,習,KanjiWord
KANJI#111,WORD#283,貸します,貸,KanjiWord
