kanji,component1,component2,component3, component4,component5
照,昭,灬,日,召,
焼,火,尭,兀,儿,
無,灬,,,,
炭,山,火,,,
灰,厂,火,,,
灯,火,丁,,,
濯,氵,ヨ,隹,,
濃,氵,曲,農,辰,
漁,氵,魚,田,灬,ク
滴,氵,啇,古,冂,立
溶,氵,容,谷,,
準,氵,准,十,隹,
湿,氵,显,业,,
湾,氵,亦,弓,,
湯,氵,旦,勿,勹,
湖,氵,則,,,
測,氵,貝,刂,,
温,氵,日,皿,昷,
減,氵,戊,,,
清,氵,龶,月,青,
混,氵,日,比,ヒ,
涼,氵,京,小,,
液,氵,イ,亠,夂,
涙,氵,戸,大,尸,
浴,氵,谷,口,人,
浅,氵,㦮,戈,,
泥,氵,尼,日,,
波,氵,皮,又,,
泊,氵,白,,,
泉,白,水,,,
況,氵,兄,,,
油,氵,由,,,
沸,氵,弓,丿丨,,
河,氵,可,丁,,
沈,氵,冘,冖,乚,
池,氵,也,,,
汚,丂,氵,,,
汗,干,氵,,,
永,水,フ,,,
氷,水,フ,,,
毛,手,,,,
比,ヒ,,,,
毒,龶,毋,,,
殿,尸,共,殳,龷,
歴,厂,林,止,,
武,弋,止,,,
欧,区,欠,匚,,
橋,木,呑,喬,冋,
極,木,亟,丂,叹,
植,木,直,目,,
森,木,林,,,
棒,木,三人,奉,,
械,木,戈,廾,,
根,木,艮,,,
栄,⺍冖,木,,,
査,木,且,,,
柱,主,木,王,,
柔,矛,木,予,,
枯,木,古,口,十,
枝,木,支,又,,
枚,木,攵,,,
林,木,,,,
板,木,反,又,厂,
村,木,寸,,,
材,木,才,,,
机,木,几,,,
札,木,乚,,,
替,㚘,夫,日,,
曇,日,雲,雨,云,
暴,日,㳟,共,氺,龷
普,並,日,业,,
星,日,生,,,
昇,日,升,廾,,
旧,日,,,,
敬,句,攵,苟,勹,
改,己,攵,,,
損,扌,員,貝,,
換,扌,奐,大,冂儿,
接,扌,妾,女,立,
採,扌,采,⺤,木,
掘,扌,屈,尸,出,
掃,扌,帚,巾,ヨ,
捨,扌,舎,𠮷,土,
捜,扌,申,又,,
挟,扌,夹,,,
拾,扌,合,口,,
拝,扌,丰,,,
担,扌,旦,日,,
技,扌,支,又,,
承,フ,了,三,,
戸,尸,一,,,
憎,忄,曽,田,日,
悩,忄,⺍,凶,,
患,串,心,,,
恋,亦,心,,,
快,忄,夬,,,
復,彳,日,夂,,
律,彳,聿,,,
弱,弓,冫,,,
延,廴,正,,,
庫,广,車,申,,
府,广,付,イ,寸,
底,广,氏,氐,,
床,广,木,,,
庁,广,丁,,,
幼,幺,力,,,
干,十,一,,,
幅,巾,畐,田,,
帽,巾,冒,日,目,
帯,丗,冖,巾,,
希,布,巾,,,
布,巾,,,,
巻,龹,己,,,
巨,匚,,,,
州,川,,,,
島,山,白,,,
岸,山,厂,干,,
岩,山,石,丆,,
層,尸,曽,田,日,
届,尸,由,田,,
導,道,寸,䒑,首,辶
尊,酉,寸,䒑,,
将,丬,寽,寸,⺤,
専,由,寸,,,
封,圭,寸,,,
寺,土,寸,,,
宝,宀,玉,王,,
宇,于,宀,,,
孫,子,系,幺,小,
季,禾,木,子,,
委,禾,女,木,,
姓,女,生,,,
奥,米,大,冂,,
央,人,大,,,
境,土,竟,音,,
塩,土,𠂉,口,皿,
塗,涂,余,土,氵,
塔,土,荅,艹,合,
域,土,戈,或,,
城,土,成,戈,戊,
埋,土,里,甲,土,
型,刑,土,刂,廾,
均,土,勹,冫,匀,
坂,土,厂,反,又,
圧,厂,土,,,
固,囗,古,,,
囲,囗,井,,,
団,囗,寸,,,
営,⺍冖,呂,,,
喫,契,㓞,大,,
咲,口,关,天,,
周,⺆,𠮷,土,口,
含,今,口,人,,
各,夂,口,夕,,
史,口,中,,,
召,刀,口,,,
叫,口,丩,,,
双,ヌ,,,,
厚,厂,日,子,,
卵,卯,卩,,,
印,卩,卬,,,
占,ト,口,,,
協,十,力,劦,,
卒,亠,从,十,人,
区,匚,メ,,,
匹,匚,儿,,,
包,勹,己,,,
勢,執,力,幸,丸,土
募,艹日,力,莫,,
勇,マ,男,田,力,
効,交,力,父,,
劇,豦,刂,豕,七,虍
副,畐,刂,,,
則,貝,刂,,,
刺,朿,刂,,,
券,龹,刀,,,
刷,尸,刂,巾,,
刊,干,刂,,,
凍,冫,東,束,,
再,冂,冉,,,
冊,冂,一,,,
兵,丘,八,,,
党,龸,口,兄,儿,
児,旧,儿,,,
兆,儿,冫,,,
億,イ,音,意,心,
像,イ,象,豕,,
傾,化,ヒ,頁,頃,イ
停,イ,亠口,丁,亭,
倍,イ,立,咅,口,
個,イ,固,囗,,
依,イ,衣,,,
低,イ,氏,氐,,
伺,イ,司,,,
伸,イ,申,,,
仲,イ,中,,,
令,人,マ,,,
仏,ノ,ム,,,
介,人,丿丨,,,
了,フ,,,,
乾,龺,乞,𠂉,乙,
乳,⺤,子,乚,孚,
乱,千,口,乚,,
久,ク,,,,
丸,九,メ,,,
並,业,䒑,业,,
鼓,士,豆,支,又,
黛,代,黒,弋,里,灬
黙,里,犬,灬,,
黎,禾,勹,人,氺,
麿,广,林,木,呂,
麻,广,林,木,,
麟,鹿,粦,米,舛 ,㐄
麗,鹿,比,ヒ,冂,
鹿,广,比,ヒ,,
鷹,广,イ,隹,鳥,灬
鶴,隺,鳥,灬,,
鶏,⺤,鳥,夫,灬,
鵬,朋,鳥,灬,月,
鴻,氵,工,鳥,江,灬
鳳,几,鳥,灬,,
鳩,九,鳥,灬,,
鯨,魚,灬,京,,
鯛,魚,灬,周,⺆,𠮷
鯉,魚,灬,里,,
鮮,魚,灬,羊,,
鮎,魚,灬,占,,
魔,麻,鬼,林,广,
魅,鬼,未,儿,ム,
魂,云,鬼,儿,ム,
魁,鬼,儿,ム,斗,
鬼,儿,ム,,,
髄,骨,迶,辶,有,
驚,敬,馬,句,攵,勹
騰,月,駦,馬,龹,
騒,馬,又,虫,,
騎,馬,大,可,,
駿,馬,夋,夂,夕,
駒,馬,句,勹,,
駆,馬,区,,,
駄,馬,太,,,
馨,殸,声,殳,香,
餓,食,我,戈,,
養,⺷,食,,,
飾,食,巾,,,
飽,食,包,己,勹,
飼,食,司,,,
飢,食,几,,,
颯,風,虫,立,几,
顧,雇,頁,貝,戸,隹
顕,显,頁,貝,业,
頻,歩,頁,貝,,
頒,分,頁,貝,,
頑,元,頁,貝,,
頌,公,頁,貝,,
須,彡,頁,貝,,
項,工,頁,貝,,
響,郷,音,幺,阝,立
韻,音,員,貝,立,
鞠,匊,革,米,勹,
靖,立,青,月,龶,
露,雨,路,足,各,止
霧,雨,務,矛,予,务
霞,雨,叚,又,,
霜,雨,相,木,目,
霊,雨,业,,,
需,雨,而,,,
雷,雨,田,,,
雰,雨,分,刀,,
離,离,㐫,禸,凶,
雛,隹,芻,勹,屮,
雌,此,隹,止,ヒ,
雅,牙,隹,,,
雄,厷,隹,,,
隼,隹,十,,,
隷,士,示,隶,,
隣,阝,粦,米,舛 ,㐄
隠,阝,爫,ヨ,心,
障,阝,章,立,音,早
