PK,SK,character,name,en,vi,
COMPONENT,836,辛,,,,
COMPONENT,837,辟,,,,
COMPONENT,838,辰,,,,
COMPONENT,839,農,,,,
COMPONENT,840,迶,,,,
COMPONENT,841,連,,,,
COMPONENT,842,道,,,,
COMPONENT,843,郎,,,,
COMPONENT,844,郷,,,,
COMPONENT,845,酉,,,,
COMPONENT,846,釆,,,,
COMPONENT,847,采,,,,
COMPONENT,848,里,,,,
COMPONENT,849,重,,,,
COMPONENT,850,量,,,,
COMPONENT,851,金,,,,
COMPONENT,852,長,,,,
COMPONENT,853,門,,,,
COMPONENT,854,閏,,,,
COMPONENT,855,間,,,,
COMPONENT,856,阝,,,,
COMPONENT,857,隊,,,,
COMPONENT,858,隶,,,,
COMPONENT,859,隹,,,,
COMPONENT,860,隺,,,,
COMPONENT,861,隻,,,,
COMPONENT,862,隽,,,,
COMPONENT,863,雇,,,,
COMPONENT,864,雍,,,,
COMPONENT,865,雨,,,,
COMPONENT,866,雲,,,,
COMPONENT,867,零,,,,
COMPONENT,868,需,,,,
COMPONENT,869,青,,,,
COMPONENT,870,非,,,,
COMPONENT,871,革,,,,
COMPONENT,872,韋,,,,
COMPONENT,873,韱,,,,
COMPONENT,874,音,,,,
COMPONENT,875,頁,,,,
COMPONENT,876,頃,,,,
COMPONENT,877,頼,,,,
COMPONENT,878,風,,,,
COMPONENT,879,飞,,,,
COMPONENT,880,食,,,,
COMPONENT,881,飠,,,,
COMPONENT,882,首,,,,
COMPONENT,883,香,,,,
COMPONENT,884,馬,,,,
COMPONENT,885,駦,,,,
COMPONENT,886,骨,,,,
