PK,SK,character,name,en,vi,EntityType
COMPONENT,634,為,,,,Component
COMPONENT,635,烕,,,,Component
COMPONENT,636,焦,,,,Component
COMPONENT,637,然,,,,Component
COMPONENT,638,爫,,,,Component
COMPONENT,639,爰,,,,Component
COMPONENT,640,父,,,,Component
COMPONENT,641,片,,,,Component
COMPONENT,642,牙,,,,Component
COMPONENT,643,牛,,,,Component
COMPONENT,644,牟,,,,Component
COMPONENT,645,物,,,,Component
COMPONENT,646,犬,,,,Component
COMPONENT,647,犭,,,,Component
COMPONENT,648,玄,,,,Component
COMPONENT,649,玉,,,,Component
COMPONENT,650,王,,,,Component
COMPONENT,651,玨,,,,Component
COMPONENT,652,瓜,,,,Component
COMPONENT,653,瓦,,,,Component
COMPONENT,654,甘,,,,Component
COMPONENT,655,甚,,,,Component
COMPONENT,656,生,,,,Component
COMPONENT,657,用,,,,Component
COMPONENT,658,甫,,,,Component
COMPONENT,659,甬,,,,Component
COMPONENT,660,田,,,,Component
COMPONENT,661,由,,,,Component
COMPONENT,662,甲,,,,Component
COMPONENT,663,申,,,,Component
COMPONENT,664,电,,,,Component
COMPONENT,665,甶,,,,Component
COMPONENT,666,男,,,,Component
COMPONENT,667,畄,,,,Component
COMPONENT,668,界,,,,Component
COMPONENT,669,畐,,,,Component
COMPONENT,670,留,,,,Component
COMPONENT,671,畜,,,,Component
COMPONENT,672,番,,,,Component
COMPONENT,673,異,,,,Component
COMPONENT,674,疋,,,,Component
COMPONENT,675,疌,,,,Component
COMPONENT,676,疑,,,,Component
COMPONENT,677,疒,,,,Component
COMPONENT,678,癶,,,,Component
COMPONENT,679,発,,,,Component
COMPONENT,680,登,,,,Component
COMPONENT,681,白,,,,Component
COMPONENT,682,百,,,,Component
COMPONENT,683,皮,,,,Component
COMPONENT,684,皿,,,,Component
COMPONENT,685,監,,,,Component
COMPONENT,686,目,,,,Component
COMPONENT,687,直,,,,Component
COMPONENT,688,相,,,,Component
COMPONENT,689,盾,,,,Component
COMPONENT,690,県,,,,Component
COMPONENT,691,真,,,,Component
COMPONENT,692,睘,,,,Component
COMPONENT,693,睿,,,,Component
COMPONENT,694,矛,,,,Component
COMPONENT,695,矞,,,,Component
COMPONENT,696,矢,,,,Component
COMPONENT,697,知,,,,Component
COMPONENT,698,石,,,,Component
COMPONENT,699,示,,,,Component
